Name                      Schedd InQ  Act Startd Run LdAvg Idle Arch      OpSys    
p0287.avidcluster         Avail     0   0 Busy     1 19.00 9999 AMD64     Linux3   
p0288.avidcluster         Avail     0   0 Busy     1 19.00 9999 AMD64     Linux3   
p0289.avidcluster         Avail     0   0 Busy     1 19.11 9999 AMD64     Linux3   
p0291.avidcluster         Avail     0   0 Busy     1 19.01 9999 AMD64     Linux3   
p0292.avidcluster         Avail     0   0 Busy     1 19.02 9999 AMD64     Linux3   
p0293.avidcluster         Avail     0   0 Busy     1 19.04 9999 AMD64     Linux3   
p0294.avidcluster         Avail     0   0 Busy     1 19.03 9999 AMD64     Linux3   
p0295.avidcluster         Avail     0   0 Idle     0 0.00  9999 AMD64     Linux3   
p0296.avidcluster         Avail     0   0 Busy     1 19.03 9999 AMD64     Linux3   
p0297.avidcluster         Avail     0   0 Busy     1 19.00 9999 AMD64     Linux3   
p0298.avidcluster         Avail     0   0 Busy     1 19.00 9999 AMD64     Linux3   
p0299.avidcluster         Avail     0   0 Busy     1 19.02 9999 AMD64     Linux3   
p0300.avidcluster         Avail     0   0 Busy     1 19.01 9999 AMD64     Linux3   
p0301.avidcluster         Avail     0   0 Busy     1 19.07 9999 AMD64     Linux3   
p0302.avidcluster         Avail     0   0 Busy     1 19.00 9999 AMD64     Linux3   
p0303.avidcluster         Avail     0   0 Busy     1 19.37 9999 AMD64     Linux3   
p0304.avidcluster         Avail     0   0 Busy     1 19.20 9999 AMD64     Linux3   
p0305.avidcluster         Avail     0   0 Busy     1 19.18 9999 AMD64     Linux3   
p0306.avidcluster         Avail     0   0 Busy     1 19.03 9999 AMD64     Linux3   
p0307.avidcluster         Avail     0   0 Busy     1 19.16 9999 AMD64     Linux3   
p0308.avidcluster         Avail     0   0 Busy     1 19.05 9999 AMD64     Linux3   
p0309.avidcluster         Avail     0   0 Busy     1 19.00 9999 AMD64     Linux3   
p0310.avidcluster         Avail     0   0 Busy     1 19.00 9999 AMD64     Linux3   
p0311.avidcluster         Avail     0   0 Busy     1 19.05 9999 AMD64     Linux3   
p0312.avidcluster         Avail     0   0 Busy     1 19.08 9999 AMD64     Linux3   
p0313.avidcluster         Avail     0   0 Busy     1 19.00 9999 AMD64     Linux3   
p0314.avidcluster         Avail     0   0 Busy     1 19.02 9999 AMD64     Linux3   
p0315.avidcluster         Avail     0   0 Busy     1 19.00 9999 AMD64     Linux3   
p0316.avidcluster         Avail     0   0 Busy     1 19.09 9999 AMD64     Linux3   
p0317.avidcluster         Avail     0   0 Busy     1 19.06 9999 AMD64     Linux3   
p0318.avidcluster         Avail     0   0 Busy     1 19.00 9999 AMD64     Linux3   
p0319.avidcluster         Avail     0   0 Busy     1 19.20 9999 AMD64     Linux3   
p0320.avidcluster         Avail     0   0 Busy     1 19.02 9999 AMD64     Linux3   
p0321.avidcluster         Avail     0   0 Busy     1 19.21 9999 AMD64     Linux3   
p0322.avidcluster         Avail     0   0 Busy     1 19.00 9999 AMD64     Linux3   
p0323.avidcluster         Avail     0   0 Busy     1 19.19 9999 AMD64     Linux3   
p0324.avidcluster         Avail     0   0 Busy     1 19.09 9999 AMD64     Linux3   
p0325.avidcluster         Avail     0   0 Busy     1 19.05 9999 AMD64     Linux3   
p0326.avidcluster         Avail     0   0 Busy     1 19.02 9999 AMD64     Linux3   
p0327.avidcluster         Avail     0   0 Idle     0 0.00  9999 AMD64     Linux3   
p0328.avidcluster         Avail     0   0 Busy     1 16.04 9999 AMD64     Linux3   
p0329.avidcluster         Avail     0   0 Idle     0 0.00  9999 AMD64     Linux3   
p0330.avidcluster         Avail     0   0 Busy     1 19.00 9999 AMD64     Linux3   
p0331.avidcluster         Avail     0   0 Idle     0 0.00  9999 AMD64     Linux3   
p0332.avidcluster         Avail     0   0 Idle     0 0.00  9999 AMD64     Linux3   
p0333.avidcluster         Avail     0   0 Idle     0 0.02  9999 AMD64     Linux3   
p0334.avidcluster         Avail     0   0 Idle     0 0.01  9999 AMD64     Linux3   
p0335.avidcluster         Avail     0   0 Busy     1 19.03 9999 AMD64     Linux3   
p0336.avidcluster         Avail     0   0 Busy     1 19.44 9999 AMD64     Linux3   
p0339.avidcluster         Avail     0   0 Idle     0 1.06  2371 AMD64     Linux3   
p0340.avidcluster         Avail     0   0 Idle     0 0.30  9999 AMD64     Linux3   
p0341.avidcluster         Avail     0   0 Idle     0 0.28  9999 AMD64     Linux3   
p0342.avidcluster         Avail     0   0 Idle     0 0.30  9999 AMD64     Linux3   
p0343.avidcluster         Avail     0   0 Idle     0 0.11  9999 AMD64     Linux3   
p0344.avidcluster         Avail     0   0 Idle     0 0.10  9999 AMD64     Linux3   
p0345.avidcluster         Avail     0   0 Idle     0 0.11  9999 AMD64     Linux3   
p0346.avidcluster         Avail     0   0 Idle     0 0.06  9999 AMD64     Linux3   
p0347.avidcluster         Avail     0   0 Idle     0 34.55 9999 AMD64     Linux3   
p0348.avidcluster         Avail     0   0 Idle     0 35.31 9999 AMD64     Linux3   
p0349.avidcluster         Avail     0   0 Idle     0 34.77 9999 AMD64     Linux3   
p0350.avidcluster         Avail     0   0 Idle     0 34.04 9999 AMD64     Linux3   
p0351.avidcluster         Avail     0   0 Idle     0 34.10 9999 AMD64     Linux3   
p0352.avidcluster         Avail     0   0 Idle     0 0.06  9999 AMD64     Linux3   
p0353.avidcluster         Avail     0   0 Idle     0 34.06 9999 AMD64     Linux3   
p0354.avidcluster         Avail     0   0 Idle     0 34.09 9999 AMD64     Linux3   
p0356.avidcluster         Avail     0   0 Idle     0 34.00 9999 AMD64     Linux3   
p0357.avidcluster         Avail     0   0 Idle     0 32.66 9999 AMD64     Linux3   
p0358.avidcluster         Avail     0   0 Idle     0 33.75 9999 AMD64     Linux3   
p0359.avidcluster         Avail     0   0 Idle     0 28.22 9999 AMD64     Linux3   
p0360.avidcluster         Avail     0   0 Idle     0 0.00  9999 AMD64     Linux3   
p0361.avidcluster         Avail     0   0 Idle     0 0.00  9999 AMD64     Linux3   
p0362.avidcluster         Avail     0   0 Idle     0 34.00 9999 AMD64     Linux3   
p0363.avidcluster         Avail     0   0 Idle     0 34.00 9999 AMD64     Linux3   

AMD64/Linux2                6 machines     33  jobs      0  running tasks
AMD64/Linux3              296 machines      0  jobs    177  running tasks
Total Machines            302 machines     33  jobs    177  running tasks

The Central Manager is defined on p0165.avidcluster

The BACKFILL scheduler is in use

Negotiator interval has been disabled.
All machines on the machine_list are present.
